Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"6,479","3,533","4,009","4,162","8,564","4,244","4,605","5,771","9,150","4,440","5,792","7,154","10,224"
Expenses+,"4,647","2,860","2,995","3,090","6,277","3,295","3,205","4,101","6,334","3,201","4,090","5,027","7,243"
Operating Profit,"1,832",673,"1,014","1,072","2,287",948,"1,400","1,669","2,816","1,238","1,702","2,127","2,982"
OPM %,28%,19%,25%,26%,27%,22%,30%,29%,31%,28%,29%,30%,29%
Other Income+,66,140,137,167,225,204,158,186,195,163,154,139,110
Interest,2,1,2,1,4,1,1,1,6,1,2,2,2
Depreciation,114,109,108,107,119,108,111,111,138,121,126,135,173
Profit before tax,"1,782",703,"1,041","1,132","2,390","1,043","1,445","1,744","2,867","1,279","1,728","2,128","2,917"
Tax %,23%,25%,25%,25%,25%,25%,25%,25%,26%,25%,26%,26%,24%
Net Profit+,"1,382",539,790,860,"1,797",791,"1,093","1,312","2,127",969,"1,287","1,580","2,226"
EPS in Rs,1.89,0.74,1.08,1.18,2.46,1.08,1.49,1.79,2.91,1.33,1.76,2.16,3.04
Raw PDF,,,,,,,,,,,,,
