Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,652,724,903,542,674,839,988,642,679,"1,057",930,568,684
Expenses+,571,644,716,476,534,678,743,536,560,838,712,468,550
Operating Profit,81,81,188,66,140,161,245,106,120,219,218,99,134
OPM %,12%,11%,21%,12%,21%,19%,25%,17%,18%,21%,23%,18%,20%
Other Income+,16,18,25,27,27,26,31,31,32,39,39,21,32
Interest,1,1,1,1,1,1,1,2,2,2,2,2,2
Depreciation,14,14,16,16,17,15,16,19,16,16,17,17,17
Profit before tax,82,83,196,75,149,171,260,117,133,241,238,102,148
Tax %,12%,26%,27%,27%,26%,26%,26%,25%,25%,26%,25%,25%,25%
Net Profit+,72,62,143,55,110,127,193,87,100,178,178,76,111
EPS in Rs,1.45,1.24,2.87,1.10,2.20,2.54,3.85,1.74,2.00,3.57,3.56,1.52,2.23
Raw PDF,,,,,,,,,,,,,
