Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,239,260,366,399,508,639,703,"1,036","1,331","1,418","1,487","1,434"
Expenses+,227,242,346,375,478,600,653,959,"1,237","1,297","1,386","1,303"
Operating Profit,12,18,21,25,31,40,50,77,94,121,101,132
OPM %,5%,7%,6%,6%,6%,6%,7%,7%,7%,9%,7%,9%
Other Income+,3,3,3,5,3,0,2,6,4,23,47,71
Interest,10,10,10,11,10,15,18,19,21,17,13,12
Depreciation,9,10,11,12,13,16,18,20,21,23,25,27
Profit before tax,-5,2,3,7,10,9,15,44,57,104,111,163
Tax %,0%,0%,0%,0%,2%,72%,23%,24%,22%,25%,23%,24%
Net Profit+,-5,2,3,7,10,3,12,33,44,78,85,124
EPS in Rs,-0.28,0.12,0.20,0.46,0.53,0.13,0.59,1.55,1.94,3.00,2.99,4.33
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,8%,6%
