Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,743,731,787,782,884,891,922,868,865,854,"1,138","1,200","1,258"
Expenses+,543,529,567,549,637,642,670,634,633,648,854,904,962
Operating Profit,200,203,220,233,247,249,252,234,231,206,284,296,296
OPM %,27%,28%,28%,30%,28%,28%,27%,27%,27%,24%,25%,25%,24%
Other Income+,3,3,4,-0,9,9,13,41,53,32,21,-14,33
Interest,5,5,6,7,7,9,11,6,5,5,5,5,8
Depreciation,48,51,53,56,60,61,63,67,65,67,72,75,74
Profit before tax,150,150,164,169,189,189,192,203,215,165,228,201,247
Tax %,20%,25%,24%,21%,21%,25%,25%,26%,24%,26%,25%,25%,24%
Net Profit+,120,112,124,134,148,142,144,151,164,122,170,150,187
EPS in Rs,2.05,1.91,2.12,2.26,2.54,2.42,2.32,2.43,2.64,2.01,2.78,2.43,3.09
Raw PDF,,,,,,,,,,,,,
