Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,789","2,151","1,905","1,887","2,047","2,375","2,072","2,010","2,243","2,535","2,381","2,364","2,578"
Expenses+,"1,633","1,913","1,687","1,675","1,817","2,045","1,831","1,796","2,018","2,165","2,051","2,108","2,342"
Operating Profit,156,238,219,213,230,330,241,214,224,370,331,256,235
OPM %,9%,11%,11%,11%,11%,14%,12%,11%,10%,15%,14%,11%,9%
Other Income+,2,2,14,4,2,2,7,2,9,3,4,3,3
Interest,30,34,32,38,50,46,45,43,48,43,37,33,32
Depreciation,96,97,100,102,111,111,116,117,127,129,136,146,146
Profit before tax,33,109,101,77,71,176,88,56,59,201,162,79,60
Tax %,24%,27%,23%,25%,26%,26%,26%,26%,27%,26%,26%,23%,15%
Net Profit+,25,80,78,57,52,131,64,41,43,148,120,61,51
EPS in Rs,1.12,3.60,3.48,2.58,2.34,5.86,2.89,1.84,1.93,6.65,5.40,2.72,2.28
Raw PDF,,,,,,,,,,,,,
