Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,1,0,24,109,201,302,450,590,651,596,789,940
Expenses+,3,1,22,85,154,230,338,422,465,464,563,645
Operating Profit,-2,-1,2,23,48,72,112,168,186,131,225,295
OPM %,-252%,-194%,10%,21%,24%,24%,25%,28%,29%,22%,29%,31%
Other Income+,4,1,0,0,2,2,4,7,17,30,32,13
Interest,1,0,1,9,11,9,11,13,5,9,10,12
Depreciation,0,0,1,5,6,8,11,15,23,39,43,61
Profit before tax,0,0,1,9,33,57,94,146,174,114,205,235
Tax %,27%,31%,300%,17%,28%,29%,24%,26%,25%,23%,26%,26%
Net Profit+,0,0,-1,8,23,40,71,109,130,88,152,174
EPS in Rs,0.12,0.11,-1.27,9.08,27.27,46.68,70.43,9.67,10.47,6.65,11.47,13.08
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
