Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"4,688","4,833","4,729","5,619","6,475","6,509","4,243","5,838","7,500","8,123","8,915","9,240"
Expenses+,"4,066","4,136","4,087","4,716","5,337","5,633","3,862","5,142","6,884","7,426","8,074","8,434"
Operating Profit,622,697,642,903,"1,138",876,381,697,616,696,841,806
OPM %,13%,14%,14%,16%,18%,13%,9%,12%,8%,9%,9%,9%
Other Income+,37,82,52,13,32,9,43,30,16,74,10,100
Interest,73,81,59,48,31,31,23,15,5,7,13,72
Depreciation,208,244,287,260,260,285,232,217,211,212,233,272
Profit before tax,379,455,348,608,879,569,169,494,417,551,605,562
Tax %,31%,34%,34%,35%,36%,25%,33%,26%,27%,25%,27%,26%
Net Profit+,260,299,230,395,563,428,114,366,305,411,442,413
EPS in Rs,9.83,11.28,8.68,14.91,21.29,16.18,4.28,13.82,11.50,15.51,16.71,15.63
Dividend Payout %,10%,10%,13%,13%,12%,15%,12%,76%,65%,64%,60%,64%
