Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,355,375,183,229,431,478,561,638
Expenses+,164,180,76,113,192,194,263,323
Operating Profit,191,195,108,117,239,284,298,315
OPM %,54%,52%,59%,51%,56%,59%,53%,49%
Other Income+,6,8,7,8,11,17,60,103
Interest,31,50,51,41,42,47,100,72
Depreciation,69,66,56,48,49,48,50,31
Profit before tax,98,88,8,36,159,205,209,315
Tax %,22%,18%,27%,18%,18%,19%,36%,27%
Net Profit+,77,72,6,29,131,166,134,229
EPS in Rs,66.87,67.25,5.27,27.47,125.69,159.25,5.73,9.80
Dividend Payout %,0%,0%,0%,0%,74%,0%,0%,0%
