Metric,Mar 2019,Mar 2020,Dec 20209m,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,TTM
Sales+,205,210,130,365,491,636,785,956,"1,018"
Expenses+,101,91,66,124,154,183,213,256,280
Operating Profit,104,119,64,241,337,453,572,700,738
OPM %,51%,57%,49%,66%,69%,71%,73%,73%,72%
Other Income+,6,3,3,10,9,11,31,51,57
Interest,2,1,1,2,2,2,2,2,2
Depreciation,6,12,9,12,11,13,14,17,18
Profit before tax,101,110,57,236,332,449,587,732,775
Tax %,30%,28%,28%,25%,26%,27%,25%,25%,
Net Profit+,71,79,41,177,244,330,439,547,582
EPS in Rs,,,,,,,10.16,12.66,13.47
Dividend Payout %,108%,0%,0%,0%,0%,0%,24%,0%,
