Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,123,60,145,253,266,149,251,334,415,301,304,805,774
Expenses+,108,51,126,219,225,130,215,291,355,256,258,707,677
Operating Profit,15,9,19,34,40,20,36,43,59,45,45,98,97
OPM %,12%,14%,13%,14%,15%,13%,14%,13%,14%,15%,15%,12%,12%
Other Income+,1,0,3,5,4,4,2,2,2,1,1,7,10
Interest,1,1,1,2,3,1,1,1,1,1,1,3,8
Depreciation,1,1,1,2,2,2,3,3,3,3,3,4,4
Profit before tax,14,7,20,35,40,20,35,40,57,42,42,98,95
Tax %,26%,25%,25%,26%,26%,25%,25%,26%,26%,27%,25%,25%,26%
Net Profit+,11,5,15,26,30,15,26,30,43,30,31,73,71
EPS in Rs,2.07,0.98,2.70,4.64,5.26,2.70,4.64,5.27,7.52,5.38,5.55,12.94,12.40
Raw PDF,,,,,,,,,,,,,
