Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,229,247,270,158,177,144,163,254,277,385,306,403
Expenses+,17,19,32,19,30,42,20,25,32,33,39,42
Operating Profit,213,229,237,139,147,102,144,229,246,352,267,361
OPM %,93%,92%,88%,88%,83%,71%,88%,90%,88%,91%,87%,90%
Other Income+,0,0,0,8,0,0,25,18,36,65,103,118
Interest,0,0,0,0,0,0,0,0,8,11,0,1
Depreciation,0,0,0,0,0,1,1,1,1,1,2,4
Profit before tax,213,229,237,147,147,101,167,246,272,406,368,474
Tax %,14%,14%,16%,11%,9%,11%,8%,13%,8%,5%,15%,9%
Net Profit+,186,194,200,131,134,90,155,214,252,385,312,434
EPS in Rs,3.37,3.53,3.64,2.38,2.64,1.79,3.04,4.23,4.98,7.61,6.17,8.57
Dividend Payout %,50%,48%,49%,84%,76%,101%,79%,130%,96%,37%,44%,40%
