Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,001","3,036","3,207","2,507","3,063","3,244","3,434","3,388","3,256","3,264","6,047","3,901","3,771"
Expenses+,"2,603","2,599","2,745","2,715","2,559","2,656","2,832","2,787","2,695","2,684","3,687","3,031","3,008"
Operating Profit,398,437,462,-209,504,588,602,600,561,581,"2,360",870,763
OPM %,13%,14%,14%,-8%,16%,18%,18%,18%,17%,18%,39%,22%,20%
Other Income+,-696,-32,-205,87,351,31,39,31,-361,-297,"-1,184",-140,-184
Interest,109,112,121,134,149,40,48,52,67,58,66,41,43
Depreciation,135,142,141,147,151,118,120,123,125,130,141,154,148
Profit before tax,-542,151,-6,-403,555,462,473,456,8,96,967,534,388
Tax %,-26%,-14%,997%,-18%,319%,26%,25%,24%,45%,51%,37%,24%,22%
Net Profit+,-403,173,-62,-331,"-1,214",340,354,348,4,47,610,403,301
EPS in Rs,-15.18,5.31,-2.90,-12.45,-43.17,12.06,12.55,12.33,0.16,1.66,21.63,14.29,10.68
Raw PDF,,,,,,,,,,,,,
