Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,195","1,182","1,194","1,138","1,212","1,322","1,393","1,417","1,452","1,478","1,552","1,574","1,670"
Expenses+,"1,046","1,000","1,039",986,"1,065","1,099","1,150","1,193","1,229","1,242","1,284","1,327","1,389"
Operating Profit,149,182,155,152,148,223,243,224,223,236,267,247,281
OPM %,12%,15%,13%,13%,12%,17%,17%,16%,15%,16%,17%,16%,17%
Other Income+,26,10,24,17,16,16,35,19,50,28,50,40,92
Interest,2,2,2,2,5,5,9,4,5,5,5,4,4
Depreciation,51,52,54,61,76,77,78,81,82,82,81,80,79
Profit before tax,122,138,124,105,83,158,191,158,186,177,231,203,289
Tax %,24%,26%,26%,32%,29%,29%,27%,26%,30%,25%,21%,20%,27%
Net Profit+,92,102,91,72,59,112,140,117,130,132,182,164,211
EPS in Rs,31.70,35.02,30.60,24.04,19.84,38.00,46.47,36.93,42.97,43.40,60.88,54.60,71.38
Raw PDF,,,,,,,,,,,,,
