Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"1,780","2,698","3,908","5,488","7,481","8,478","7,565","6,141","6,491","7,016","7,651","8,511"
Interest,"1,265","1,860","2,644","3,537","5,167","5,876","5,100","4,066","3,901","4,264","4,553","5,002"
Expenses+,213,320,442,693,708,"1,719","1,235",964,"1,173",737,557,443
Financing Profit,303,518,822,"1,258","1,606",884,"1,230","1,111","1,416","2,015","2,542","3,067"
Financing Margin %,17%,19%,21%,23%,21%,10%,16%,18%,22%,29%,33%,36%
Other Income+,-0,1,0,0,4,7,15,5,2,7,10,3
Depreciation,8,15,19,24,31,66,59,53,51,51,56,66
Profit before tax,294,503,804,"1,235","1,578",825,"1,187","1,063","1,367","1,972","2,496","3,004"
Tax %,34%,35%,35%,32%,31%,17%,22%,23%,23%,23%,22%,22%
Net Profit+,194,326,524,842,"1,081",682,925,822,"1,056","1,527","1,949","2,328"
EPS in Rs,9.95,16.73,20.57,32.90,42.01,26.39,35.78,31.72,40.70,58.81,74.98,89.34
Dividend Payout %,16%,13%,19%,18%,14%,0%,0%,0%,0%,0%,7%,9%
