Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,292","1,357","1,411","1,685","2,279","2,599","3,238","3,765","4,512","4,506","4,482","5,366"
Expenses+,"1,082","1,081","1,112","1,406","1,895","2,073","2,382","3,038","3,597","3,648","3,534","4,181"
Operating Profit,210,276,299,278,384,526,856,727,915,858,948,"1,185"
OPM %,16%,20%,21%,17%,17%,20%,26%,19%,20%,19%,21%,22%
Other Income+,3,5,35,27,75,90,26,13,12,2,41,10
Interest,32,37,32,33,28,27,26,23,56,106,103,114
Depreciation,53,58,72,76,105,137,151,159,184,207,226,296
Profit before tax,128,186,230,196,326,451,704,558,687,547,660,785
Tax %,29%,33%,28%,32%,27%,26%,22%,26%,25%,26%,24%,24%
Net Profit+,91,123,165,133,236,335,549,413,517,405,502,595
EPS in Rs,4.45,5.68,7.19,5.22,9.30,13.19,22.18,16.64,21.34,16.72,20.68,24.01
Dividend Payout %,11%,11%,13%,19%,11%,8%,7%,9%,7%,9%,7%,7%
