Metric,Sep 20248m,Feb 20255m,Sep 2025,TTM
Sales+,0,"2,653","7,827","8,735"
Expenses+,0,"2,064","6,295","6,957"
Operating Profit,-0,589,"1,532","1,779"
OPM %,,22%,20%,20%
Other Income+,0,3,98,133
Interest,0,10,39,35
Depreciation,0,35,103,125
Profit before tax,-0,547,"1,488","1,751"
Tax %,0%,25%,26%,
Net Profit+,-0,409,"1,100","1,310"
EPS in Rs,,,30.89,36.79
Dividend Payout %,0%,0%,13%,
