Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,224","1,204","1,187","1,222","1,401","1,230","1,312","1,182","1,595","1,396","1,376","1,599","1,951"
Expenses+,"1,079","1,058","1,041","1,088","1,239","1,104","1,206","1,044","1,424","1,259","1,231","1,441","1,771"
Operating Profit,146,146,146,134,162,127,106,138,171,136,145,158,180
OPM %,12%,12%,12%,11%,12%,10%,8%,12%,11%,10%,11%,10%,9%
Other Income+,98,74,72,75,100,202,57,67,104,80,76,74,140
Interest,1,0,0,0,1,0,0,0,0,0,0,0,0
Depreciation,15,10,11,11,12,11,12,12,12,14,14,15,17
Profit before tax,228,210,206,198,250,318,151,193,261,203,206,216,303
Tax %,23%,24%,25%,24%,25%,23%,22%,24%,27%,20%,21%,24%,26%
Net Profit+,175,160,154,151,186,244,118,147,192,163,163,164,224
EPS in Rs,11.44,10.49,10.08,9.87,12.17,15.95,7.71,9.63,12.54,10.63,10.63,10.73,14.67
Raw PDF,,,,,,,,,,,,,
