Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,517","1,597","1,610","1,634","1,754","1,808","1,810","1,782","2,218","2,059","2,164","2,536","2,964"
Expenses+,"1,416","1,484","1,489","1,521","1,639","1,713","1,725","1,672","2,023","1,917","1,988","2,332","2,702"
Operating Profit,100,113,121,113,115,95,86,111,194,142,176,204,262
OPM %,7%,7%,8%,7%,7%,5%,5%,6%,9%,7%,8%,8%,9%
Other Income+,15,17,15,12,20,19,7,14,13,13,17,-3,15
Interest,13,14,14,12,13,12,16,16,15,15,16,19,25
Depreciation,14,16,17,16,16,16,17,18,19,20,22,24,26
Profit before tax,88,99,105,96,106,86,60,90,173,120,155,159,225
Tax %,26%,25%,29%,26%,26%,25%,17%,24%,25%,25%,25%,26%,25%
Net Profit+,65,74,74,71,79,64,50,69,129,90,116,118,168
EPS in Rs,6.82,7.77,6.57,6.29,6.98,5.71,4.38,6.06,11.42,7.94,10.28,10.46,14.85
Raw PDF,,,,,,,,,,,,,
