Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,670","2,928","3,259","2,543","2,756","2,879","3,238","2,439","3,189","5,143","5,177","4,082","4,499"
Expenses+,"1,931","1,706","1,379","1,432","1,587","1,462","1,553","1,525","1,985","2,355","2,181","2,052","2,249"
Operating Profit,739,"1,222","1,880","1,111","1,169","1,418","1,685",914,"1,204","2,789","2,996","2,030","2,250"
OPM %,28%,42%,58%,44%,42%,49%,52%,37%,38%,54%,58%,50%,50%
Other Income+,136,87,134,120,130,167,230,206,313,271,186,111,356
Interest,233,486,514,521,533,511,518,564,675,"1,306","1,418","1,485","1,608"
Depreciation,291,398,409,400,427,375,392,406,482,739,809,829,809
Profit before tax,351,426,"1,092",310,339,698,"1,005",150,361,"1,015",955,-173,188
Tax %,20%,32%,22%,25%,-2%,24%,13%,-5%,-15%,18%,14%,-406%,-205%
Net Profit+,282,290,857,232,345,534,877,157,415,836,824,529,574
EPS in Rs,1.65,1.76,5.17,1.41,2.14,2.99,4.88,0.96,2.33,4.25,4.03,2.40,2.11
Raw PDF,,,,,,,,,,,,,
