Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,503","2,667","2,869","3,002","2,783","2,761","2,844","3,433","2,946","3,021","3,173","3,691","3,054"
Expenses+,"2,268","1,955","2,401","2,516","2,449","2,049","2,344","2,868","2,437","2,383","2,514","3,077","2,461"
Operating Profit,235,712,468,486,334,712,500,565,509,638,659,614,593
OPM %,9%,27%,16%,16%,12%,26%,18%,16%,17%,21%,21%,17%,19%
Other Income+,0,5,71,52,80,35,54,7,136,58,51,28,226
Interest,36,4,27,16,29,22,25,20,22,49,21,19,69
Depreciation,69,74,66,63,73,72,69,72,70,76,65,80,76
Profit before tax,130,639,446,459,312,653,460,480,553,571,624,543,674
Tax %,21%,25%,24%,24%,23%,26%,26%,30%,24%,27%,26%,23%,20%
Net Profit+,103,477,339,350,241,485,341,335,421,417,464,418,539
EPS in Rs,1.41,6.56,4.66,4.81,3.31,6.67,4.69,4.61,5.79,5.73,6.38,5.75,7.41
Raw PDF,,,,,,,,,,,,,
