Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,183","2,628","2,982","3,467","3,298","4,104","4,157","4,657","4,217","4,883","4,818","5,345","5,028"
Expenses+,"1,980","2,261","2,526","2,838","2,828","3,491","3,511","3,809","3,566","4,036","4,002","4,264","4,117"
Operating Profit,203,367,457,629,470,613,646,847,651,848,816,"1,081",911
OPM %,9%,14%,15%,18%,14%,15%,16%,18%,15%,17%,17%,20%,18%
Other Income+,89,79,105,110,695,101,51,80,74,50,28,5,28
Interest,92,92,95,99,33,32,33,37,38,40,42,43,44
Depreciation,137,141,152,165,213,181,197,245,272,293,325,367,377
Profit before tax,64,212,314,475,919,501,467,646,416,565,477,676,519
Tax %,30%,21%,27%,22%,23%,22%,28%,23%,25%,25%,22%,25%,20%
Net Profit+,45,167,228,371,712,391,335,497,312,425,373,510,413
EPS in Rs,1.01,3.25,4.40,7.02,13.21,7.36,6.35,9.33,5.97,8.06,7.07,9.62,7.51
Raw PDF,,,,,,,,,,,,,
