Metric,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,404","2,188","2,410","2,690","3,175","3,290","3,043","2,948","3,448","4,058","4,190","4,682"
Expenses+,"2,192","1,967","2,121","2,319","2,668","2,650","2,451","2,512","2,926","3,463","3,599","4,076"
Operating Profit,212,221,289,371,506,640,592,436,521,595,590,606
OPM %,9%,10%,12%,14%,16%,19%,19%,15%,15%,15%,14%,13%
Other Income+,-18,24,37,29,71,97,84,82,128,143,182,167
Interest,0,3,3,4,6,10,9,9,6,9,12,10
Depreciation,17,15,16,15,16,41,49,52,52,54,54,54
Profit before tax,177,226,307,381,555,687,618,458,591,675,706,709
Tax %,36%,38%,45%,34%,35%,28%,26%,26%,26%,26%,26%,26%
Net Profit+,114,141,169,250,359,491,460,339,438,501,524,525
EPS in Rs,129.16,159.69,191.65,282.45,405.86,555.88,520.32,383.57,495.39,567.10,592.21,593.79
Dividend Payout %,10%,6%,5%,11%,11%,13%,16%,23%,19%,18%,18%,18%
