Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"3,660","2,769","2,803","2,710","3,167","3,609","4,261","4,734","5,140","5,106","5,473","5,675"
Expenses+,"3,144","2,334","2,389","2,300","2,684","2,883","3,450","3,923","4,216","4,147","4,783","4,801"
Operating Profit,516,435,414,410,483,726,812,812,924,959,691,874
OPM %,14%,16%,15%,15%,15%,20%,19%,17%,18%,19%,13%,15%
Other Income+,88,82,70,39,51,-64,69,112,168,76,118,95
Interest,5,10,7,11,10,14,13,13,22,20,17,20
Depreciation,25,25,29,33,44,65,74,64,80,74,85,94
Profit before tax,574,482,448,404,480,583,794,847,990,941,707,855
Tax %,33%,35%,35%,26%,30%,19%,38%,24%,23%,21%,20%,19%
Net Profit+,383,315,291,300,337,474,493,645,758,740,568,689
EPS in Rs,104.59,89.13,82.31,87.41,98.18,105.58,109.72,143.58,168.71,164.77,126.38,153.35
Dividend Payout %,20%,19%,21%,21%,18%,24%,105%,104%,77%,85%,99%,39%
