Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,933","3,445","4,198","4,287","4,760","5,308","5,551","6,370","7,247","7,990","8,667","9,959"
Expenses+,"2,735","3,140","3,820","3,916","4,312","4,758","4,749","5,649","6,546","7,091","7,654","8,783"
Operating Profit,198,305,378,372,448,550,802,721,701,899,"1,014","1,177"
OPM %,7%,9%,9%,9%,9%,10%,14%,11%,10%,11%,12%,12%
Other Income+,6,5,7,8,-1,9,-22,-21,11,23,19,14
Interest,63,68,70,88,86,106,108,107,126,154,182,146
Depreciation,94,107,143,174,201,296,295,311,362,409,465,574
Profit before tax,47,134,172,119,161,156,377,283,225,358,386,470
Tax %,17%,55%,21%,23%,29%,28%,35%,23%,26%,25%,26%,24%
Net Profit+,39,60,135,91,115,112,246,218,166,267,285,356
EPS in Rs,1.76,2.72,6.08,4.08,5.15,5.04,11.06,9.78,7.45,12.00,12.81,15.99
Dividend Payout %,50%,72%,45%,67%,56%,58%,70%,59%,81%,50%,47%,63%
