Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"12,454","15,213","15,738","14,651","15,847","17,294","15,698","15,391","17,096","18,035","15,545","13,948","14,900"
Expenses+,"10,526","12,500","12,967","12,234","13,540","14,232","12,427","12,312","13,850","14,470","12,243","10,894","12,301"
Operating Profit,"1,928","2,713","2,771","2,417","2,307","3,062","3,271","3,079","3,246","3,565","3,302","3,055","2,599"
OPM %,15%,18%,18%,16%,15%,18%,21%,20%,19%,20%,21%,22%,17%
Other Income+,"1,352",877,567,"1,092","1,407",578,632,589,684,494,859,"1,056","1,773"
Interest,"1,196","1,221","1,182","1,094","1,136","1,176","1,143","1,170","1,213","1,279","1,319","1,364","1,295"
Depreciation,926,893,926,926,"1,041",973,987,"1,041","1,116","1,161","1,162","1,208","1,280"
Profit before tax,"1,158","1,476","1,231","1,489","1,537","1,490","1,773","1,457","1,600","1,619","1,680","1,540","1,797"
Tax %,19%,23%,17%,28%,32%,20%,38%,18%,18%,22%,26%,22%,21%
Net Profit+,939,"1,141","1,017","1,076","1,046","1,189","1,093","1,188","1,306","1,262","1,245","1,194","1,416"
EPS in Rs,2.43,3.04,2.74,2.98,2.80,3.04,2.90,3.23,3.26,3.32,2.88,2.42,3.12
Raw PDF,,,,,,,,,,,,,
