Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"23,306","25,153","25,375","30,979","41,462","42,430","44,726","52,599","63,240","70,908","75,955","88,512"
Expenses+,"18,881","20,252","20,162","24,834","34,115","33,184","33,158","41,084","52,620","57,930","63,158","71,507"
Operating Profit,"4,425","4,901","5,212","6,145","7,347","9,246","11,568","11,514","10,620","12,979","12,797","17,004"
OPM %,19%,19%,21%,20%,18%,22%,26%,22%,17%,18%,17%,19%
Other Income+,350,464,648,242,350,651,619,669,507,557,397,439
Interest,587,566,640,"1,238","1,778","1,992","1,486",945,823,968,"1,651","1,872"
Depreciation,"1,203","1,377","1,348","1,848","2,451","2,723","2,700","2,715","2,888","3,145","4,015","4,644"
Profit before tax,"2,986","3,421","3,872","3,301","3,468","5,183","8,001","8,524","7,416","9,422","7,528","10,927"
Tax %,30%,28%,30%,33%,31%,-11%,32%,14%,32%,26%,20%,25%
Net Profit+,"2,102","2,480","2,714","2,224","2,400","5,751","5,462","7,334","5,073","7,004","6,040","8,188"
EPS in Rs,76.47,90.30,98.90,80.92,87.51,199.40,189.26,254.42,175.41,242.65,204.94,277.10
Dividend Payout %,12%,11%,10%,13%,13%,7%,20%,15%,22%,29%,38%,87%
