Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,804","3,986","4,115","4,179","4,256","4,393","4,263","4,973","5,241","5,042","6,172","6,114","6,080"
Expenses+,"2,871","2,966","3,027","3,089","3,127","3,228","3,175","3,772","3,983","3,839","4,660","4,557","4,566"
Operating Profit,934,"1,021","1,087","1,090","1,129","1,165","1,088","1,201","1,258","1,203","1,512","1,557","1,514"
OPM %,25%,26%,26%,26%,27%,27%,26%,24%,24%,24%,24%,25%,25%
Other Income+,379,344,375,368,437,457,468,452,628,603,486,465,675
Interest,8,10,13,12,15,12,13,13,16,15,19,17,20
Depreciation,148,142,143,148,165,169,180,179,201,198,200,211,232
Profit before tax,"1,156","1,212","1,307","1,298","1,385","1,441","1,362","1,461","1,669","1,593","1,779","1,793","1,937"
Tax %,22%,24%,22%,23%,23%,24%,19%,20%,18%,24%,23%,21%,22%
Net Profit+,906,918,"1,016",996,"1,070","1,101","1,100","1,170","1,362","1,205","1,369","1,421","1,520"
EPS in Rs,33.11,33.58,37.12,36.38,39.10,40.20,40.15,42.70,49.68,43.95,49.93,51.79,55.41
Raw PDF,,,,,,,,,,,,,
