Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,296,313,358,352,412,476,514
Expenses+,234,244,286,273,318,367,395
Operating Profit,62,70,72,79,94,108,119
OPM %,21%,22%,20%,22%,23%,23%,23%
Other Income+,3,0,0,1,1,4,3
Interest,7,8,12,11,11,10,10
Depreciation,8,9,10,10,12,12,12
Profit before tax,49,53,51,60,72,91,99
Tax %,30%,28%,29%,27%,25%,20%,22%
Net Profit+,34,38,36,43,54,73,77
EPS in Rs,2.27,2.50,2.35,2.81,3.49,4.42,4.65
Raw PDF,,,,,,,
