Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"7,171","7,259","7,377","7,842","8,371","8,367","8,235","8,542","8,653","8,623","8,777","9,070","9,698"
Interest,"3,643","4,062","4,338","4,672","4,811","4,801","4,807","4,984","5,238","5,222","5,476","5,552","5,677"
Expenses+,"4,043","3,118","3,534","3,377","3,561","3,920","3,500","3,373","3,968","3,395","3,328","3,853","3,573"
Financing Profit,-514,79,-495,-207,-1,-354,-71,185,-553,6,-28,-335,448
Financing Margin %,-7%,1%,-7%,-3%,-0%,-4%,-1%,2%,-6%,0%,-0%,-4%,5%
Other Income+,"1,424",959,"1,062","1,329","1,363","1,166","1,649","1,232","1,723","1,872","1,507","1,927","1,161"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,910,"1,038",567,"1,122","1,363",812,"1,578","1,418","1,171","1,878","1,479","1,592","1,609"
Tax %,37%,59%,-7%,35%,40%,-9%,42%,32%,11%,33%,18%,21%,54%
Net Profit+,592,498,623,738,817,945,926,966,"1,106","1,284","1,234","1,265",748
EPS in Rs,0.68,0.57,0.72,0.85,0.94,1.09,1.06,1.11,1.22,1.42,1.36,1.40,0.82
Gross NPA %,8.41%,4.95%,4.61%,4.50%,4.50%,4.54%,4.59%,3.87%,3.18%,3.14%,3.02%,2.71%,2.67%
Net NPA %,1.77%,1.75%,1.64%,1.28%,1.24%,0.75%,0.70%,0.61%,0.56%,0.50%,0.49%,0.46%,0.50%
Raw PDF,,,,,,,,,,,,,
