Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,-0,353,562,621,923
Expenses+,1,124,164,163,237
Operating Profit,-1,229,398,458,686
OPM %,,65%,71%,74%,74%
Other Income+,-0,3,8,26,37
Interest,1,138,171,193,110
Depreciation,-0,91,114,126,208
Profit before tax,-1,3,121,165,406
Tax %,-0%,103%,28%,23%,16%
Net Profit+,-1,-0,87,127,342
EPS in Rs,-21.37,-0.80,865.40,1.29,2.80
Dividend Payout %,-0%,-0%,38%,-0%,7%
