Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,950","1,611","1,511","1,241","1,697","1,610","1,480","1,529","1,769","1,766","1,632","1,467","1,785"
Expenses+,"1,629","1,279","1,213",970,"1,362","1,295","1,184","1,227","1,436","1,456","1,318","1,173","1,436"
Operating Profit,320,332,298,272,335,315,296,302,333,310,314,295,348
OPM %,16%,21%,20%,22%,20%,20%,20%,20%,19%,18%,19%,20%,20%
Other Income+,8,5,22,28,12,8,39,16,11,36,24,34,41
Interest,21,22,18,15,20,16,13,9,11,14,12,11,15
Depreciation,46,45,46,49,49,51,52,53,52,53,54,54,54
Profit before tax,261,270,256,236,278,255,271,256,281,279,272,263,320
Tax %,20%,25%,21%,21%,23%,20%,24%,21%,27%,24%,20%,21%,29%
Net Profit+,210,203,202,187,214,203,205,202,205,213,218,209,227
EPS in Rs,6.13,5.93,5.90,5.47,6.25,5.95,6.00,5.92,5.98,6.22,6.38,6.10,6.65
Raw PDF,,,,,,,,,,,,,
