Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"3,915","2,212","3,930","4,791","5,616","7,183","3,843","4,631","8,627","7,046","6,764","8,333"
Expenses+,"3,771","2,026","3,727","4,525","5,245","6,906","3,456","4,096","7,955","6,123","5,666","6,881"
Operating Profit,144,185,204,266,371,277,388,535,672,923,"1,098","1,452"
OPM %,4%,8%,5%,6%,7%,4%,10%,12%,8%,13%,16%,17%
Other Income+,42,8,6,8,8,33,37,39,187,190,208,327
Interest,20,18,16,15,26,33,17,22,88,116,165,146
Depreciation,23,23,24,34,51,69,72,79,126,135,152,199
Profit before tax,142,153,169,225,302,208,336,472,645,861,989,"1,433"
Tax %,21%,17%,21%,5%,17%,35%,26%,18%,21%,22%,20%,23%
Net Profit+,112,126,133,214,252,134,249,385,511,672,787,"1,107"
EPS in Rs,3.10,3.39,3.57,5.92,6.63,2.93,6.36,10.19,13.19,16.22,18.90,25.59
Dividend Payout %,24%,27%,29%,21%,21%,58%,31%,25%,44%,40%,42%,34%
