Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"98,083","101,460","107,391","112,868","117,469","118,242","121,045","124,654","126,840","125,729","128,040","130,386","131,080"
Interest,"53,451","58,045","62,955","68,092","70,644","71,701","73,619","77,397","78,227","78,266","78,002","78,783","79,953"
Expenses+,"59,965","49,080","59,365","62,635","65,418","53,996","62,709","64,890","74,438","59,496","72,265","76,799","75,050"
Financing Profit,"-15,334","-5,665","-14,930","-17,858","-18,593","-7,455","-15,283","-17,634","-25,825","-12,034","-22,227","-25,196","-23,923"
Financing Margin %,-16%,-6%,-14%,-16%,-16%,-6%,-13%,-14%,-20%,-10%,-17%,-19%,-18%
Other Income+,"38,769","30,873","36,865","33,103","47,445","33,883","42,758","43,200","52,722","41,263","50,884","55,262","49,999"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"23,436","25,208","21,936","15,245","28,852","26,428","27,474","25,566","26,897","29,229","28,657","30,067","26,076"
Tax %,22%,26%,25%,26%,25%,26%,26%,25%,26%,26%,25%,27%,23%
Net Profit+,"18,769","19,094","16,648","11,598","22,203","20,094","20,565","19,484","20,379","22,121","21,861","22,176","20,508"
EPS in Rs,20.27,20.77,18.04,12.40,23.96,21.65,22.17,21.12,21.96,23.76,22.90,23.09,21.28
Gross NPA %,,,2.53%,,,,2.13%,,,,,,
Net NPA %,,,0.63%,,,,0.52%,,,,,,
Raw PDF,,,,,,,,,,,,,
