Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"1,636","1,708","1,778","1,755","1,810","1,823","1,879","1,942","2,022","2,076","2,128","2,119","2,182"
Interest,"1,008","1,048","1,057","1,087","1,070","1,097","1,118","1,158","1,178","1,234","1,267","1,253","1,246"
Expenses+,275,201,204,216,170,168,143,155,133,145,88,183,52
Financing Profit,353,459,517,452,570,559,618,629,711,697,773,683,883
Financing Margin %,22%,27%,29%,26%,31%,31%,33%,32%,35%,34%,36%,32%,40%
Other Income+,2,0,2,1,4,9,1,1,15,6,3,2,-10
Depreciation,13,13,11,13,14,13,14,14,14,15,16,16,19
Profit before tax,342,447,507,440,560,554,605,616,711,688,760,668,855
Tax %,18%,22%,24%,23%,22%,22%,22%,22%,23%,22%,23%,22%,23%
Net Profit+,279,347,383,338,439,433,470,483,550,534,582,520,656
EPS in Rs,10.76,13.38,14.75,13.03,16.91,16.66,18.08,18.60,21.17,20.51,22.33,19.97,25.17
Gross NPA %,,,,,,,1.24%,1.19%,,1.06%,1.04%,1.04%,0.93%
Net NPA %,,,,,,,0.84%,0.80%,,0.69%,0.69%,0.68%,0.57%
Raw PDF,,,,,,,,,,,,,
