Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,310","1,403","1,263","1,314","1,390","1,384","1,297","1,530","1,777","2,207","2,637","2,891"
Expenses+,"1,334","1,361","1,389","1,333","1,360","1,357","1,233","1,444","1,609","1,911","2,253","2,520"
Operating Profit,-23,42,-126,-19,30,27,64,86,168,296,383,371
OPM %,-2%,3%,-10%,-1%,2%,2%,5%,6%,9%,13%,15%,13%
Other Income+,70,9,19,25,15,13,6,7,27,5,42,4
Interest,38,43,42,44,44,48,48,48,53,69,49,51
Depreciation,25,26,27,27,26,22,22,17,19,22,25,32
Profit before tax,-17,-18,-176,-65,-24,-30,-1,28,124,210,350,292
Tax %,67%,0%,0%,0%,0%,0%,0%,0%,0%,18%,24%,27%
Net Profit+,-29,-18,-176,-65,-24,-30,-1,28,124,172,268,213
EPS in Rs,-1.19,-0.76,-7.36,-2.70,-1.02,-1.24,-0.04,1.16,5.17,7.19,11.20,8.89
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
