Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,411,495,496,744,472,593,600,857,587,622,650,"1,029",590
Expenses+,350,446,433,633,399,511,526,717,500,552,566,857,545
Operating Profit,61,49,63,110,73,82,74,140,87,69,84,173,45
OPM %,15%,10%,13%,15%,16%,14%,12%,16%,15%,11%,13%,17%,8%
Other Income+,3,2,-2,2,3,3,9,25,6,4,4,-20,15
Interest,14,12,12,12,32,13,12,11,13,11,11,14,15
Depreciation,5,5,6,6,6,6,6,7,6,7,7,8,10
Profit before tax,45,35,43,94,38,65,65,147,73,56,70,130,35
Tax %,0%,0%,0%,3%,91%,26%,16%,25%,25%,26%,25%,26%,38%
Net Profit+,45,35,43,91,3,48,54,111,55,41,52,97,22
EPS in Rs,1.88,1.46,1.79,3.80,0.14,2.03,2.27,4.62,2.28,1.72,2.19,4.06,0.92
Raw PDF,,,,,,,,,,,,,
