Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,798,298,616,602,854,191,545,832,"1,777",248,"1,147",567,480
Expenses+,615,330,482,483,538,243,446,705,"1,478",293,960,541,425
Operating Profit,183,-33,134,119,316,-52,99,127,299,-45,188,26,55
OPM %,23%,-11%,22%,20%,37%,-27%,18%,15%,17%,-18%,16%,5%,12%
Other Income+,37,107,78,88,88,80,86,84,100,87,121,97,119
Interest,1,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,14,17,17,16,16,16,18,18,20,18,19,19,20
Profit before tax,206,57,194,189,388,11,166,193,378,23,288,103,154
Tax %,26%,27%,24%,29%,26%,36%,26%,24%,28%,21%,25%,29%,26%
Net Profit+,153,42,147,135,289,7,123,147,273,18,216,73,113
EPS in Rs,4.17,1.14,4.01,3.68,7.88,0.20,3.34,4.01,7.44,0.50,5.89,1.99,3.09
Raw PDF,,,,,,,,,,,,,
