Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"13,718","13,159","12,864","13,101","12,871","13,006","13,313","13,286","13,384","13,351","13,995","14,393","15,076"
Expenses+,"11,915","11,821","11,950","11,955","11,772","11,441","11,563","11,477","11,545","11,416","11,830","12,028","12,511"
Operating Profit,"1,803","1,338",914,"1,146","1,099","1,564","1,750","1,809","1,839","1,935","2,165","2,366","2,565"
OPM %,13%,10%,7%,9%,9%,12%,13%,14%,14%,14%,15%,16%,17%
Other Income+,306,200,264,92,380,147,522,23,173,219,40,-293,-205
Interest,93,120,98,116,58,72,89,76,85,78,77,94,89
Depreciation,490,447,466,443,461,462,470,459,462,458,469,474,481
Profit before tax,"1,525",971,615,679,959,"1,178","1,714","1,297","1,464","1,618","1,659","1,505","1,791"
Tax %,26%,28%,18%,23%,31%,27%,27%,24%,22%,30%,28%,26%,24%
Net Profit+,"1,125",704,505,524,664,865,"1,258",989,"1,142","1,129","1,202","1,119","1,356"
EPS in Rs,11.47,7.10,5.06,5.23,6.77,8.71,12.78,10.05,11.92,11.65,12.19,11.45,13.82
Raw PDF,,,,,,,,,,,,,
