Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,980","2,388","2,472","2,716","4,386","5,599","6,595","7,618","9,722"
Expenses+,"1,757","2,212","2,266","2,484","4,082","5,276","6,133","7,131","8,939"
Operating Profit,223,177,207,232,304,323,462,487,784
OPM %,11%,7%,8%,9%,7%,6%,7%,6%,8%
Other Income+,14,25,27,22,46,34,63,51,37
Interest,28,38,37,29,24,43,54,60,75
Depreciation,25,31,39,45,46,60,65,70,92
Profit before tax,184,132,158,180,280,255,405,407,654
Tax %,34%,35%,22%,26%,25%,26%,27%,24%,26%
Net Profit+,122,86,122,134,210,189,297,310,487
EPS in Rs,50.36,36.61,52.35,56.14,87.67,19.74,26.33,27.37,43.05
Dividend Payout %,19%,0%,25%,0%,0%,23%,23%,22%,22%
