Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"37,441","37,933","38,994","38,821","37,923","39,315","40,986","41,764","40,925","42,279","44,490","45,479","46,402"
Expenses+,"28,443","28,869","29,554","29,684","29,139","29,878","31,177","31,649","31,051","32,336","33,955","34,845","35,235"
Operating Profit,"8,998","9,064","9,440","9,137","8,784","9,437","9,809","10,115","9,874","9,943","10,535","10,634","11,167"
OPM %,24%,24%,24%,24%,23%,24%,24%,24%,24%,24%,24%,23%,24%
Other Income+,671,561,632,789,"2,729",838,712,859,"1,190","1,042",982,-150,"1,159"
Interest,82,90,138,131,110,105,108,101,102,105,106,100,105
Depreciation,"1,121","1,173","1,166","1,176","1,163","1,149","1,160","1,203","1,299","1,140","1,182","1,155","1,424"
Profit before tax,"8,466","8,362","8,768","8,619","10,240","9,021","9,253","9,670","9,663","9,740","10,229","9,229","10,797"
Tax %,28%,29%,29%,29%,22%,29%,30%,29%,27%,29%,28%,28%,21%
Net Profit+,"6,134","5,945","6,215","6,113","7,975","6,374","6,516","6,822","7,038","6,924","7,375","6,666","8,509"
EPS in Rs,14.77,14.32,14.97,14.71,19.20,15.34,15.67,16.39,16.93,16.66,17.73,16.41,20.96
Raw PDF,,,,,,,,,,,,,
