Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,876,"1,966","1,091","1,912","1,554","2,417","1,436","1,675","1,193","2,384","3,651","5,058","6,020"
Expenses+,712,"1,430",805,"1,463","1,096","1,699","1,025","1,139",932,"1,589","2,608","3,302","3,474"
Operating Profit,165,536,286,449,458,719,411,536,261,794,"1,043","1,756","2,545"
OPM %,19%,27%,26%,24%,29%,30%,29%,32%,22%,33%,29%,35%,42%
Other Income+,19,12,20,11,8,6,34,18,19,28,55,98,34
Interest,17,1,1,2,2,2,4,8,13,15,176,152,168
Depreciation,7,8,10,15,17,19,18,22,22,31,167,186,224
Profit before tax,160,540,295,444,448,704,424,524,245,777,756,"1,517","2,187"
Tax %,-68%,25%,22%,25%,38%,21%,29%,26%,17%,17%,25%,28%,30%
Net Profit+,269,403,231,332,277,557,301,389,202,642,567,"1,090","1,530"
EPS in Rs,5.33,7.99,4.58,6.56,5.48,11.03,5.76,7.44,3.86,12.26,10.87,19.24,25.22
Raw PDF,,,,,,,,,,,,,
