Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"16,569","8,963","10,170","9,887","14,078","9,067","11,090","10,907","15,573","9,216","12,019","12,269","18,335"
Expenses+,"13,847","7,747","9,049","9,820","12,230","7,998","9,873","9,229","12,409","7,820","10,072","10,033","14,854"
Operating Profit,"2,722","1,216","1,121",67,"1,848","1,069","1,217","1,678","3,164","1,396","1,947","2,236","3,481"
OPM %,16%,14%,11%,1%,13%,12%,11%,15%,20%,15%,16%,18%,19%
Other Income+,302,58,18,134,66,49,103,94,-168,152,392,36,162
Interest,906,700,871,"1,191","1,090",913,"1,070",730,914,"1,007",784,774,836
Depreciation,727,636,657,676,794,660,697,688,705,731,771,827,915
Profit before tax,"1,391",-62,-389,"-1,666",30,-455,-447,354,"1,377",-190,784,671,"1,892"
Tax %,22%,-265%,-25%,-4%,367%,16%,31%,-141%,22%,-7%,22%,27%,32%
Net Profit+,"1,080",102,-293,"-1,607",-80,-527,-585,853,"1,079",-176,612,490,"1,294"
EPS in Rs,9.38,1.97,-2.24,-14.41,0.47,-4.55,-5.25,9.81,10.61,-1.04,6.56,4.70,12.57
Raw PDF,,,,,,,,,,,,,
